"Company Name,""Location"",""Open Positions"""
"enfue TalentSpike,""Dubai"",""0 open positions"""
"1234,""Jakarta"",""0 open positions"""
"Techy,""Irosin"",""2 open positions"""
"enfue TalentSpike,""Da Nang"",""0 open positions"""
"Vé Máy Bay Bảo Linh,""Hue"",""0 open positions"""
"Green System Solutions,""Da Nang"",""0 open positions"""
"Apreo Technologies Group,""Ha Noi"",""1 open positions"""
"DigiSource,""Ho Chi Minh"",""0 open positions"""
"HR1Vietnam Holdings,""Ho Chi Minh"",""1 open positions"""
"ITviec,""Ho Chi Minh"",""0 open positions"""
"Softech,""Da Nang"",""0 open positions"""
"Aventra Group,""Da Nang"",""1 open positions"""
"Klizo Solutions,""Da Nang"",""1 open positions"""
"One AI Asia,""Da Nang"",""0 open positions"""
"VNAI.Dev,""Da Nang"",""0 open positions"""
"Cuong.Day,""Da Nang"",""0 open positions"""
"Orochi Network,""Ho Chi Minh"",""1 open positions"""
"DataHouse Asia,""Da Nang"",""0 open positions"""
"Pizza Hut Digital & Technology,""Ho Chi Minh"",""1 open positions"""
"Vinatech,""Da Nang"",""0 open positions"""
"RubiTalent,""Da Nang"",""0 open positions"""
"Mobiphone IT,""Da Nang"",""0 open positions"""
"Enjoyworks,""Da Nang"",""0 open positions"""
"freeC,""Da Nang"",""0 open positions"""
"090 Bravo,""Da Nang"",""0 open positions"""
"Gear Inc.,""Da Nang"",""0 open positions"""
"Odinbi Software,""Da Nang"",""0 open positions"""
"Wakumo,""Da Nang"",""0 open positions"""
"Lotus outsourcing,""Hue"",""0 open positions"""
"Kiaisoft,""Da Nang"",""0 open positions"""
"ONE Tech Stop,""Da Nang"",""0 open positions"""
"Gear Games,""Da Nang"",""1 open positions"""
"Danang Nippon Seiki,""Da Nang"",""0 open positions"""
"Aperia Solutions Vietnam,""Da Nang"",""0 open positions"""
"Mesoneer,""Da Nang"",""0 open positions"""
"Enclave,""Da Nang"",""0 open positions"""
"Lutech.ltd,""Da Nang"",""0 open positions"""
"Corize Inc.,""Da Nang"",""0 open positions"""
"Lamma tech,""Da Nang"",""0 open positions"""
"Danaweb,""Da Nang"",""0 open positions"""
"STI solutions,""Da Nang"",""0 open positions"""
"SupremeTech,""Da Nang"",""0 open positions"""
"Tenomad,""Hue"",""0 open positions"""
"Hopee,""Hue"",""0 open positions"""
"NAPA Global,""Da Nang"",""0 open positions"""
"DiproTech,""Da Nang"",""0 open positions"""
"NFQ Asia,""Da Nang"",""0 open positions"""
"Co-well,""Da Nang"",""0 open positions"""
"Tekup JSC,""Da Nang"",""0 open positions"""
"Evvo Labs,""Da Nang"",""0 open positions"""
"CodeComplete,""Da Nang"",""0 open positions"""
"D-Soft,""Da Nang"",""0 open positions"""
"Bespokify,""Da Nang"",""0 open positions"""
"Iglu Vietnam,""Hue"",""0 open positions"""
"APA Tech,""Da Nang"",""0 open positions"""
"GMO-Z.com RUNSYSTEM,""Da Nang"",""0 open positions"""
"Viettel IDC,""Da Nang"",""0 open positions"""
"Snaptec,""Hue"",""0 open positions"""
"VIETIS,""Da Nang"",""0 open positions"""
"Code Gym Huế,""Hue"",""0 open positions"""
"LogiGear,""Da Nang"",""0 open positions"""
"Ponos tech,""Da Nang"",""0 open positions"""
"Hilab Technology,""Da Nang"",""0 open positions"""
"Sotatek,""Da Nang"",""0 open positions"""
"Uranus Software,""Da Nang"",""0 open positions"""
"MTI Technology Vietnam,""Da Nang"",""0 open positions"""
"Astraler Technology,""Da Nang"",""2 open positions"""
"Hodfords,""Da Nang"",""0 open positions"""
"VNEXT Software,""Da Nang"",""0 open positions"""
"VR360,""Da Nang"",""0 open positions"""
"Platinum Technology,""Hue"",""0 open positions"""
"Hitachi Digital Services,""Da Nang"",""0 open positions"""
"SmartOSC,""Da Nang"",""0 open positions"""
